display  D   display_settings.c:377  _al_score_display_settings       [   0.09969] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09972] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09976] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09979] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09982] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09985] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09989] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09992] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09996] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09998] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.10002] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.10005] color: 32 (rgba 8880), depth: 32, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.10009] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.10012] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.10018] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.10028] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.10033] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.10037] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.10041] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.10043] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10047] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.10050] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10054] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [   0.10057] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10061] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.10064] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10068] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.10071] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10074] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.10077] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10081] Score is : 587
display  D   display_settings.c:191  debug_display_settings           [   0.10084] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10088] Score is : 586
display  D   display_settings.c:191  debug_display_settings           [   0.10091] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10095] Score is : 585
display  D   display_settings.c:191  debug_display_settings           [   0.10097] color: 32 (rgba 8880), depth: 32, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10101] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.10104] color: 32 (rgba 8880), depth: 32, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10108] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [   0.10111] color: 32 (rgba 8880), depth: 32, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10115] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.10119] color: 32 (rgba 8880), depth: 32, stencil: 0, acc: 0000, samples: 3/1
